,subj,channel,dir,type,Unnamed: 4,Unnamed: 5,Unnamed: 6,nat_x,nat_y,nat_z,leadDBS_x,leadDBS_y,leadDBS_z,mni_linear_x,mni_linear_y,mni_linear_z,mni_nonlinear_x,mni_nonlinear_y,mni_nonlinear_z,fs_anatomy
183,DBS3024,61,+,Sus,,,,-72.36447906,66.78270602,-3.914647835,-58.3917664851007,-16.3481636992181,51.2133249919743,-61.2726364319328,-2.54283014580326,38.8319490290209,-62.3155228571515,-3.05362023959898,40.1580371088521,precentral
184,DBS3024,80,+,Sus,,,,-70.49527361,68.07913982,-2.444021849,-56.4829181911699,-14.9996491486875,52.5827106573569,-59.2652082557902,-0.757053008027524,39.908893855016,-60.2669136314514,-1.25794146864592,41.2765557228013,precentral
185,DBS3024,81,+,Sus,,,,-68.7463958,69.26629986,-1.018051613,-54.6976015782281,-13.7599147872115,53.9157586585072,-57.3862652411006,0.90267844584961,40.9813854998691,-58.3862159786869,0.365816665486902,42.3837148599846,precentral
186,DBS3024,82,+,Sus,,,,-66.95087143,70.53810059,0.542337903,-52.8629442415728,-12.4270597266397,55.3764879785048,-55.4563189551033,2.69090471446375,42.1679122334431,-56.4740122496446,2.0658646066435,43.5929387824026,precentral
187,DBS3024,83,+,Sus,,,,-65.37979889,71.77118683,2.073315144,-51.2538233333759,-11.1284828425093,56.8107438456655,-53.7662561205833,4.43037984453408,43.3416695982021,-54.8026806423248,3.68551987425397,44.7668622017698,precentral
188,DBS3024,84,+,Sus,,,,-73.16750884,69.1549628,-5.729443883,-59.1291714660334,-14.0968080367865,49.2249650323613,-62.1647316368358,-0.664543019882712,35.9412059752542,-62.9264725339288,-1.21457898197038,37.1152888092207,precentral
189,DBS3024,101,+,Sus,,,,-71.50541917,70.38066307,-4.153642516,-57.4291995083963,-12.8048663260703,50.7044970971023,-60.3768749836255,1.08113402443897,37.1651651202511,-61.1175008561609,0.541236221656759,38.378427580185,precentral
190,DBS3024,102,+,Sus,,,,-69.72606565,71.52404248,-2.73609119,-55.6147058347344,-11.6102889353921,52.032452198796,-58.4652536779953,2.6932462495958,38.2446590812805,-59.2261042552782,2.13640055809964,39.4906722031459,precentral
191,DBS3024,103,+,Sus,,,,-68.04183119,72.59657274,-1.412468507,-53.8975268219858,-10.4906312175425,53.2720516158881,-56.6559905291223,4.20357451435934,39.2502632900894,-57.4550384108666,3.59163136520738,40.5169018942035,precentral
192,DBS3024,104,+,Sus,,,,-66.37979889,73.77118683,0.073314905,-52.1992673628256,-9.25637893835568,54.6656649391377,-54.8690156427118,5.86893538717306,40.3950583009595,-55.7094508030514,5.15640701114367,41.6676171083473,precentral
193,DBS3024,105,+,Sus,,,,-78.20377431,63.52914096,-18.90595032,-64.3518821937939,-20.5491095442714,36.5078403158744,-67.6736538922203,-10.5144422413131,23.7429163416792,-68.9053344268154,-11.0736803332221,24.5573595023873,postcentral
194,DBS3024,116,+,Sus,,,,-77.71130796,64.95975252,-17.03220333,-63.8145224343343,-18.9965221729203,38.2687540750508,-67.1325128436527,-8.46544138209055,25.2391121611344,-68.1707780744706,-9.02574434232219,26.0828075753056,postcentral
195,DBS3024,117,+,Onset,,,,-55.49735259,68.17498828,92.16543022,-54.6141428744668,117.489423806128,125.590614711188,-57.8318963147334,-5.00415836129147,49.0462604152475,-57.2987404695961,-6.71704982858608,48.0149770871211,precentral
196,DBS3028,37,+,Sus,,,,-58.97299559,62.24416916,89.35878515,-58.9757360959455,111.744290093365,123.829390864146,-62.3726082705633,-10.7341597115533,45.9960594013142,-62.0497637903847,-12.3832098760737,44.47663916716,precentral
197,DBS3028,55,+,Three,,,,-57.17010065,67.29443943,90.25987766,-56.2551708539223,116.451486237044,123.737429431266,-59.5982330502051,-5.75191076475061,46.8306247006573,-59.1599607102504,-7.36084881524644,45.6443111094615,precentral
198,DBS3028,57,+,Sus,,,,-67.28979126,-10.77337437,46.96828766,-62.36764692,-45.4916063,44.71319724,-69.36540694,-36.94887927,23.34975825,-70.927134730381,-38.4292955059051,22.5760295497615,superiortemporal
201,DBS3030,46,+,Sus,,,,-64.39978778,12.76819861,37.13350666,-63.49033766,-21.72578947,35.05886081,-67.32490021,-16.95192874,4.147620155,-69.9797574166159,-16.6569470461914,3.40460396341611,superiortemporal
202,DBS3030,53,+,Sus,,,,-64.51417002,14.51994485,39.23596965,-64.0519515,-20.05078505,37.15194439,-67.28964349,-14.52118004,5.81183087,-70.1289703335554,-14.1643513607734,5.16261885662589,superiortemporal
203,DBS3030,63,+,Onset,,,,-50.39978945,45.76819468,77.13350427,-58.25870233,12.90299076,75.78326473,-48.96290122,28.40672451,35.21154773,-50.9346114399538,27.199688005454,37.4572909371992,caudalmiddlefrontal
204,DBS3030,64,+,Sus,,,,-50.39978945,45.76819468,77.13350427,-58.25870233,12.90299076,75.78326473,-48.96290122,28.40672451,35.21154773,-50.9346114399538,27.199688005454,37.4572909371992,caudalmiddlefrontal
205,DBS3030,65,+,Three,,,,-64.68227624,16.65967392,37.82072447,-64.54764921,-17.96713412,35.72986784,-67.62002149,-12.85995405,3.519289113,-70.6239397832955,-12.3520250903758,2.77811855752023,superiortemporal
207,DBS3030,84,+,Sus,,,,-50.60737938,48.3360929,75.1989305,-58.84638926,15.40502868,73.84053448,-49.38607762,30.32298265,32.20403815,-51.4521661811029,29.3372406459528,34.3248695177153,rostralmiddlefrontal
208,DBS3030,84,+,Three,,,,-64.39978778,16.76819813,34.13350683,-64.0895903,-17.76690064,32.06418376,-67.62934964,-13.97380259,-0.536815928,-70.5765014214148,-13.3982520040291,-1.4915754100533,superiortemporal
209,DBS3030,86,+,Three,,,,-63.7270355,18.52617435,36.15588764,-63.87654997,-15.93490536,34.12124655,-66.74037643,-11.59056678,1.003402255,-69.8288548284677,-10.9207221494666,0.177364746735156,superiortemporal
210,DBS3030,87,+,Onset,,,,-63.07385267,20.26151248,38.15272631,-63.67696943,-14.12858523,36.15171104,-65.87473288,-9.237476938,2.524812451,-69.0591086104562,-8.49999742892584,1.82373895181052,superiortemporal
211,DBS3030,105,+,Three,,,,-62.44237459,21.99930013,40.15342254,-63.49934018,-12.32403874,38.18481599,-65.03251879,-6.879937363,4.050498671,-68.2641048587403,-6.09198882406758,3.46202272115995,superiortemporal
212,DBS3030,106,+,Three,,,,-76.53684545,-11.00568074,-16.72465515,-67.62105807,-40.7138817,31.1505331,-63.42237262,-40.24149667,26.00308946,-68.5124732105694,-40.4020488084204,27.3179263209709,superiortemporal
213,DBS3030,107,+,Three,,,,-75.5032009,-8.93993867,-11.56314838,-66.96252103,-35.97520423,34.16518537,-62.75244934,-35.81341737,29.85729612,-68.4443595294474,-35.7985125031051,31.4851933666719,supramarginal
214,DBS3030,108,+,Sus,,,,-76.53487909,-8.003978965,-17.7216429,-68.03998892,-38.83570051,28.64032707,-63.81450748,-38.34281379,23.34424009,-69.1302024367971,-38.3637864780734,24.5751312611544,superiortemporal
215,DBS3030,109,+,Sus,,,,-75.41362306,-6.872528334,-15.35588981,-67.12417407,-36.4317977,29.87187803,-62.92744318,-36.10459979,24.96531373,-68.6679168739508,-36.0173070145445,26.3095926921497,supramarginal
216,DBS3031,0,+,Sus,,,,-74.58775395,-6.050989328,-12.8369879,-66.45781061,-34.23056715,31.42506724,-62.27567985,-34.06384466,26.92955789,-68.3071241649775,-33.8501163644776,28.4475851633737,supramarginal
218,DBS3031,2,+,Sus,,,,-75.44180698,-4.057923989,-16.29158888,-67.54669222,-34.67495623,27.5195789,-63.32316624,-34.32749282,22.4733118,-69.2416894770224,-34.0698307624195,23.7591491694407,supramarginal
219,DBS3031,21,+,Onset,,,,-74.45511514,-3.114113868,-13.80221364,-66.73849109,-32.37065904,28.96814812,-62.53735345,-32.18873566,24.32965992,-68.7977097196674,-31.7872957483217,25.7435079391501,supramarginal
220,DBS3031,22,+,Sus,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
221,DBS3031,23,+,Sus,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
222,DBS3031,42,+,Onset,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
223,DBS3031,43,+,Onset,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
224,DBS3031,44,+,Onset,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
